評論者,評分,時間,內容,店家名稱,店家ID
Amy Lin,5,1 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
Alex Lau,4,1 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
Chia-yin Lin,5,1 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
翊,5,1 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
Holden yao,4,1 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
Steven Yu,3,2 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
Him-Iug Lee,3,2 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
anngus zhong,5,2 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
Amanda Yen,5,2 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
Ashley Chao,5,3 年前,非常美味👍👍👍 …,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
詹涵雯,5,2 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
張國彥,3,2 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
曾玉嫺,4,2 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
呂婕,5,8 個月前,好吃！,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
Redd Liao (Redd Design),5,10 個月前,好吃！,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
碧珍古,5,3 年前,口味非常道地👍 …,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
James Lee,5,2 年前,泰式料理,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
翔龍,5,2 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
amy wei,3,2 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
翁揉揉,4,2 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
陳相瑋,5,2 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
C. Lin,5,1 年前,帕泰家,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
鄭朝日,5,1 年前,出菜很快,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
柴博宏,5,2 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
PeiChing Lin,3,2 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
#Ziv#,5,2 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
hawk lin,4,2 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
李哲丞,2,1 年前,很普通,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
Brian Wang,4,2 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
Ching-Chi Yu,4,2 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
Mike,3,2 年前,無味,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
ki ki,5,3 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
Angie Chen,5,2 年前,食物不錯😃 …,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
Carrie Wang,4,5 天前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
Sandy Tseng,1,1 週前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
Sylvia L,5,1 個月前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
老二,5,3 個月前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
Chieh Chin Chiu,5,9 個月前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
FERNANDO KUO,5,11 個月前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
Jerry Huang,5,1 年前,,Baan Phadthai SKM A8 Branch,ChIJjx38tnarQjQRE1NrGjAlO8s
Hsu tingshin (穗麒),5,2 週前,店員Eddie服務態度良好，而且很會注意客人需求，因為我們點雙人餐又加點東西蠻多的，只要一清盤就立刻協助收盤以空出桌面！東西也非常好吃都很優秀，烘蛋的料非常豐富，每一口都能吃到海鮮，雙拼披薩的餅皮吃起來很Q，我一直說像烙餅，覺得很好吃🥰🥰🥰,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
pei,5,1 週前,"披薩麵團是手工製作沒有事先提醒需等候較長時間，但貴店服務跟反應都非常友善客氣
怕我們等太久送了一份松露薯條致歉
反應口味不太符合也重送了一份原味薯條
經理說：我知道你們說不需要了但還是想為你們準備一份
這種服務態度真的是很多餐廳沒有，並願意再次回訪與推薦給其他好友
一間好餐廳除了餐點美味還有服務，有沒有用心真的是可以體會到並值得借鑑！

披薩適合搭配店員推薦辣油真的風味很好～",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Niel J.,4,1 個月前,"台北信義區統一時代百貨內的默爾餐廳，精緻的裝潢和溫馨的用餐氛圍吸引顧客。餐廳內部設計優雅，深綠色牆面搭配復古花磚地板，給人一種舒適且有品味的感覺，非常適合和朋友或家人聚餐。

此次點餐包含松露蘑菇雞肉奶油義大利麵、羅勒青醬雞腿佐野菜蕃茄扁麵、以及凱撒沙拉。義大利麵與燉飯整體偏清淡，雖然口味不夠濃郁，但仍有其清爽的特點，偶爾嘗試這樣的風格也是一種不錯的體驗。不過，凱撒沙拉的醬汁稍微過於濃稠，建議調整比例以增添清新感。此外，披薩則是餐廳的亮點，口感非常出色，值得一試。

價格定位符合信義區的水準，服務人員友善且服務細心。整體來說，默爾餐廳提供了舒適的用餐環境與穩定的餐點品質，尤其適合喜歡義式清淡風味的顧客。下次再訪時，會優先考慮他們的披薩，並期待能嘗試更多品項。",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Peter Wang,2,1 個月前,擺設裝潢服務都非常的好，餐前的麵包還不錯吃，外酥內軟，烘蛋吃起來超普通，蛋的口感吃起來硬硬的，麵的部分更是普通到過頭了，沒有到「不好吃」，但是這個口味完全不值這個價錢，家裡巷口的小間麵店都CP值更高，抱著整餐吃下來都沒有很好吃的心情之下，甜點的巴斯克卻是意外的很好吃，總之下次應該是不會再來了，這個價位的義大利麵可以有更好吃或更便宜的選項可以去,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Joe,5,3 個月前,第一次到店內用餐，有先線上預約。店員態度都很親切並且熱情。我們點了1680的雙人套餐，含沙拉、前菜、義大利麵或燉飯（二選一）、披薩及兩杯飲料。披薩餅皮很Q軟、口味鹹淡適宜、羅勒松阪豬義大利麵的豬肉也很嫩、麵條入味，很好吃。第一次吃到了辣橄欖油，很特別。最後吃不完請店員打包，包裝也很用心，把每一片披薩都分開裝～現在用餐加會員還送冰淇淋，冰淇淋很大一球，偏甜不難吃，但等了一陣子才送上。整體用餐體驗不錯，店內座位蠻多的，客人流動率快但不吵雜及擁擠，會再回訪～,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
川頁貿,4,1 個月前,"百貨公司裡面，價格不低的餐廳，位子寬敞且多，適合聚餐

附餐有一個小麵包，但上餐時，不論幾個麵包都只附一碟醬，這個非常有問題，根本不夠配啊！當然可以主動詢問，服務員也非常願意給，但感受就差了些

主餐選櫻桃鴨炖飯，以主料來說非常好吃，但醬汁有點稀
Pizza 鹹甜都不錯吃

價位真心不低，位在繁華地帶，服務態度不錯

支持使用行動支付

以上個人經驗分享，供大家參考",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Tina,3,1 個月前,"披薩很不錯，餅皮有嚼勁~
服務生的服務也蠻不錯的，會願意一直補水
地點蠻方便的，如果沒有客滿不會趕人",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
薏仁,4,3 個月前,"中華隊 奪冠 優惠🎉
任一主餐買一送一😍

🟣用餐環境氣氛不錯，
溫馨又時尚，適合好友聊天餐敘
🟣海鮮披薩用料豐富，餅皮薄
這部分看個人喜好
我是不大喜愛啦...
比較沒有飽足感
🟣牛胸松露燉飯，份量ok燉飯好吃，但配菜較少略顯單調

🟤建議菜單可以做個加購飲料甜點的套餐優惠（目前只能加購湯品
🟤餐點中規中矩，不算雷，但似乎較少特色、少了記憶點
🟤 結帳時，雖然發生了個小插曲，但幹部處置得宜，誠意滿滿💯

113/11/25 18:30 晚餐",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
wy c,5,1 個月前,"好吃！
燉飯很有水準，米心沒有整個煮爛～
餅皮少了一點Q勁，但無傷大雅！

好可惜被別桌的客人一直嫌棄＞＜
明明食物好吃、服務也很好",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Peggy Tai,5,2 個月前,"預約中午11點用餐
一進去服務的短髮女店員非常的親切有趣
還有接著服務的Eddie～
更是讓我們整個用餐過程都很開心
餐點美味
和金色三麥配合的啤酒也好好喝
是會讓人回想再訪的店家！",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Max Chang,5,4 個月前,烤蔬菜盤很好吃！烤得恰到好處，上面還淋有蜂蜜，味道相當好！披薩則中規中矩！啤酒還有國產的新品牌可以選擇，很不錯！店內用餐環境也很好！,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
0 ling,5,4 個月前,"燈光美氣氛佳，餐點份量也很足夠，可以吃超飽🥹 吃過披薩、義大利麵、燉飯，披薩餅皮Q彈鬆軟，一定要點！！燉飯是米心口感的，吃起來很有層次感，不會像沒煮熟，想試試的大推！！牛肚義大利麵超級好吃！但偏辣，能吃辣的話也是必點之一👍
生日禮很多，有被禮遇的感覺！推薦生日一定要來😍🥳",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
YPL,5,2 個月前,"餐點美味
但最讓人印象深刻的是Eddie的服務
他的服務讓整間餐廳多了高級感
也推薦了超讚的辣橄欖油，非常香😍 …",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
張書維,5,2 個月前,"整體餐點給滿分 裝潢舒適
還有秘密武器 辣橄欖油 pizza 義大利麵都很搭
加入會員還有好禮二選一
今日特地來看好友 一樣服務到位 令人如沐春風
下次還要繼續來享用",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
"郭東杰TungChieh,KUO",5,3 週前,社團聚餐，餐點非常好吃，十分推薦，大推萬物皆可加辣椒橄欖油 👍,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Ting pause studio,3,3 個月前,"這次吃了買一送一的活動
我的松露櫻桃鴨兩份有點落差一碗比較多一碗飯有看出來比較少，我在想可能是擺盤的問題
我朋友的鮭魚義大利麵則是其中一盤汁明顯少很多後來有反應有改善
冰淇淋送上來第一次居然還是融化的..@@
後來反應之後就有重上
我詢問了服務生有沒有比較快上的菜，他說都很久，但沒有加上「不好意思」，雖然還算客氣，但對我這個做客服人員的人來說有點直接@@還是希望有改進",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Alex,5,3 週前,服務人員吧詢問用餐狀況與醬料推薦使用，pizza好吃😋與慢熟牛胸松露燉飯也好吃，推薦來吃可以點看看,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
pp L,4,1 個月前,副餐的麵包很好吃 前菜蛤蜊很香很鮮 也很鹹 義大利麵吃了兩次 普通 都覺得沒有很好吃 燉飯是有米心口感的 披薩好吃,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Saki Hsu,5,1 個月前,祐瑋的服務態度非常優秀、良好🥹（不曉得有沒有打對名字）很久沒有遇到讓人如此心情愉悅、親切的店員了☺️感謝您讓我們享用了一頓美好又可口的晚餐💕（⬅️1/26去的～）,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Txd4660,5,1 個月前,"服務真的是有夠好，教育訓練很紮實。
副店長及外場服務生態度友善，不斷詢問口味是否合適。
披薩可以嘗試店家提供的不辣的辣油，口感真的變好👍",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
宮保雞丁,4,6 個月前,"拱形的門廳打上炫目的燈光
色彩搭配給人時尚舒適感
用餐環境寬敞、簡潔明亮又溫馨
很適合二人或多人聚餐
·
pizza 餅皮外厚內薄
Q彈有嚼勁、香氣十足
·
義大利麵太硬、不夠軟Q口感差了點
·
當月生日主餐一送一，店家有誠意
加入會員送水果氣泡飲👍
·
半開放式的廚房，烹煮食物一目了然
上菜速度很快、份量足
·
11:30站門口的女服務員
動作態度冷漠，是不開心嗎？
·
中年的男性服務水準高👍
貼心親切有問必答是店長嗎？
·
年輕小哥年少有為、主動服務佳",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
陳映汝,5,1 週前,"好吃的餐點，店內的服務賓至如歸
值得再訪的店
列入口袋名單
謝謝Eddie介紹了一款辣椒橄欖油讓我們有經驗的體驗，也謝謝他認真的介紹與提供的服務",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
小不點,5,3 個月前,"跟朋友一起吃雙人套餐，這個價位吃起來超乎想像的好吃，覺得可以再來的地方
服務人員也很親切👍",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Summer,5,2 個月前,"出餐快速，餐點好吃，這次消費點了
羅勒奶油菌菇松阪義大利麵，料多實在，醬汁濃郁，那不勒斯海鮮烘蛋，蝦子超級多，松露薯條很脆，醬汁美味可口，負責桌邊服務的服務生Eddie超級親切，還預想到我們需要的調味料，也很貼心的提醒，服務一級棒",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Ting Liu,5,3 天前,"謝謝店家讓成年人也能點兒童餐
烤布蕾超好吃，推推",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
林益全,1,6 天前,"海鮮烘蛋味道燒焦味很重，吃起來非常乾超級難吃，完全不吃下去。
松露奶油義大利麵，味道很詭異
松露薯條的醬非常詭異，酸酸的。薯條的量也特別少⋯",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
莎樂美,3,4 個月前,"麵包尚可，沾醬不好吃，都是美乃滋的味道很噁心。
青醬也不好吃，有混了奶油，都是奶油味道，青醬只有淺綠色，但是豬肉好吃。
會員送的冰淇淋，難吃到，吃一兩口就扔在桌上不吃了。",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
WanTing Lee,5,2 個月前,"超級親切，貼心的服務！服務人員Eddie 彷彿有讀心術，隨時關心 提供服務，謝謝～

餐前小圓麵包鬆軟、義大利麵可以挑選軟硬度，整體調味鹹度偏低，但可以讓輕鬆的取用各種醬料，整體推薦的體驗。",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Nick,5,4 個月前,"從進餐廳服務人員就很親切的介紹，也會主動教客人會員下載使用優惠卷，吃不完幫忙打包外帶也用的非常乾淨不馬虎👍🏻
整個用餐過程服務員都很好，尤其是Eddie都會貼心詢問用餐感想，真得很讚😎",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Meira Mei,3,3 個月前,"義大利麵的蛤蜊壞掉蝦子不新鮮
披薩太鹹
莎拉可以
干貝好吃

環境漂亮",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Cocoa Cocoa,5,3 個月前,"More食物很好吃 服務人員態度很好 Eddie服務態度更是親切
還提供辣味橄欖油 跟略奶的青醬義大利更是合拍！
之後會再回訪！",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
HSIN MIN LO,4,1 個月前,"義大利麵好吃，披薩有點太鹹了
鮭魚菲力中規中矩
麵包很好吃😋",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
"Yi-Ching, Jill Chen",5,2 週前,整個用餐體驗非常棒，尤其Eddie很溫暖又有趣的介紹及服務，讓整個用餐體驗更棒！雙人餐份量很大，兩個女生吃不完還要打包,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
LYT,5,6 個月前,"1.(清炒)西班牙辣味臘腸蝦仁義大利麵(附餐包)：蝦子的肉飽滿，很有蝦味；不過臘腸只有幾根細條在裡面，還以送錯餐，跟店員確認後的確就只有一點點；選擇麵體偏軟，但覺得像是一般偏硬口感。整體覺得口味可能和我不太合。

2.羅勒青醬燻雞野菇披薩：超級無敵好吃！披薩皮外圈有嚼勁很香(也不會太韌咬到很累)，內層的配料、醬、麵皮搭配得恰到好處！喜歡從裡面往外捲起來吃，真的是會想再來吃的餐點😍

3.入會禮的百香果/奇異果氣泡飲：即使是送的餐點，也絲毫不馬虎，裡面都還喝得到百香果/奇異果果粒～喝不完還可以請店員打包

4.店員們都非常親切，服務態度很好，隨時提供協助，週五的晚上出餐速度也很快

5.餐廳氣氛不錯，裡面還有一區可以看投影幕電視，感覺很適合朋友們聚會",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Mindy kin,4,7 個月前,"份量充足吃很飽！當天每道飯麵披薩都很不錯 剛好人不多 空間很大 跟朋友度過了很好的晚餐時間
唯一美中不足就是餐點上的時間落差太大了 第一位拿到餐點吃完了最後一位餐點才上 不能好好跟同桌的人一起享用很可惜
披薩有些沒有切很開要自己加工一下
但風味跟份量真的很好😍
適合朋友聚會 情侶約會
會再回訪",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
周意惠,5,1 個月前,"服務員Addie很親切、幽默，介紹的辣椒橄欖油也很適合配義大利麵一起享用~
甜的蘋果乳酪披薩很好吃👍🏻",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
ROU,5,3 個月前,"餐點都很棒～
還有品嚐到辣味橄欖油～
超棒的香氣～
期待再回訪",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Leo Chang,5,2 週前,"餐點跟服務都超級一流🥹
服務生也非常的親切～
感謝Eddie 我們家小公主吃得很開心😊",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
許電池,5,6 個月前,"松露薯條的松露醬很好吃，
麵包附贈的醬也很搭很好吃，
義大利麵也很有水準，
麵條不會太爛也不會太硬，
下次想要嘗試他的披薩！

現在加入新Ocard會員還有贈送氣泡水活動唷！",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Eva CHAO,5,7 個月前,"芒果控必吃！香甜美味芒果披薩/天使冷麵🤩
默爾 pasta pizza 推出一系列芒果系列餐點🥭✨
從前菜、披薩、冷麵、甜點到飲品通通有！
喜歡芒果の你 馬上來吃吧😺

﹅ 金黃芒果火腿披薩 $𝟰𝟴𝟬 ★ ★ ★ ★ ☆
索蘭諾火腿片加上新鮮芒果與酸甜芒果青
甜鹹交織意外的融合！

﹅ 鮮蝦芒果天使冷麵 $𝟯𝟲𝟬 ★ ★ ★ ★ ☆
天使細麵吸附滿滿香甜芒果醬
吃起來酸酸辣辣🌶味道爽口很開胃!!
蝦子也給很多隻 口感Q彈🦐是我最愛的一道😍

﹅ 芒果莎莎炸魚塊 $𝟮𝟴𝟬 ★ ★ ★ ✮ ☆
魚塊炸至香酥搭配芒果莎莎醬🐟
讓整體風味變得清爽 相對不油膩～

﹅ 芒果法式千層蛋糕 $𝟭𝟲𝟱 ★ ★ ★ ☆ ☆
原味千層蛋糕加入鮮奶油與芒果內餡☁
味道輕盈 不會過甜～～

﹅ 甜蜜好芒冰沙 $𝟮𝟮𝟬 ★ ★ ★ ★ ✮
芒果冰沙很真材實料🤩
喝起來很濃 還可以吃到新鮮芒果塊🥭
夏天來一杯非常消暑💖",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Chou Jun,5,1 個月前,"餐點很好吃，用餐氣氛很好
服務生Eddie很熱情也很親切，還推薦很好吃的橄欖油，適合加在不同的料理上！（個人覺得）加在水裡喝也還不錯😆",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
grace hsu,5,7 個月前,餐點都還蠻清爽的，pizza都是窯烤的，餅皮特別鬆軟，章魚腳前菜Q彈可口，牛肚寬扁麵也好吃！剛好遇到夏日限定芒果季，甜點飲品很消暑，用餐環境寬敞，適合聚餐。,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Lina Chen,5,5 個月前,餐點好吃，松露鴨胸燉飯、松阪豬青醬義大利麵皆入味且肉質烹煮得宜，加入會員送果汁氣泡飲，店員親切服務佳，推推！,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Chen M,4,6 個月前,"今天餐點都還不錯，價格偏貴
Pizza餅皮很棒💯
明太子唐揚雞，感覺粉與肉分離口感偏軟，稍待加強",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
JH L,5,1 個月前,"沒在蓋我平常都是因為有免費餐點或是好康的才會特別評論
但這家真的🐮🍺到必須親自稱讚
每位服務生都親切到不行
店員Eddie很有熱忱還會跑來聊天
超過一百分的用餐體驗",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
黃敏晴,5,2 個月前,"謝謝服務員Eddie在2024年的最後一天，帶給我們溫暖與歡笑，Eddie的服務態度很好很親切餐點也想美味，是一間會想回訪的餐廳。
謝謝Eddie的提前生日祝福～",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Mi,5,2 個月前,"美好的用餐經驗💝
服務人員細心、體貼又親切的服務，賓至如歸^_^

松露薯條、義大利麵、披薩和南瓜濃湯都很好吃，推推熱熱吃最好吃😋

🍭地點在威秀影城二樓，手扶梯上樓的右後方哦！",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Ben Cheung,5,3 個月前,Pizza外脆內軟、牛肉五成熟剛剛好、烤生菜不會乾有水份好新鮮,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
abbygale,5,2 個月前,青醬松板豬義大利麵好吃！！服務人員也都蠻親切的，之後還會想要回訪～,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Zoey Chen,5,5 個月前,"份量非常多!吃很飽！飯類、麵食類披薩都很不錯
pizza應該要切更開才對~
炸物也好吃!!",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Chen Bella,5,2 個月前,"Eddie很熱情，隨時注意客人的需求，讓我們吃飯的氣氛非常好，很快樂，
禮拜六早上11:00的櫃檯也很好，總之，餐點好吃，服務也很完美，過程很開心",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
陳歐郎,2,8 個月前,"我的綜合海鮮筆管麵，麵條有些竟然還是硬的，裡面沒熟，當下有反應，店家馬上幫我換一個新的，價格折抵，「誠意有我收到了，所以我打兩顆星」我沒吃完，因為不好吃，蝦子軟爛代表冷凍很久不新鮮了完全不行。

其他家人也反應選軟麵，但是還是蠻硬，我個人吃了幾口覺得還好，小朋友也沒吃完，我們食量算大的，都沒吃完其實代表有問題，也不是故意刁難店家毀壞名譽之類，其實餐點有蠻多問題，我就不一ㄧ說明。
內場人員一定有狀況，這樣價位的餐廳出這樣的餐，很危險，因為我不會來第二次，看了其他評論大部分都蠻好，那應該可以推測是當天廚師的狀況，請一定要改善。

裡面最好吃的竟然是小朋友雞塊，另一半說比麥當好吃。",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
黃婉瑩,3,6 個月前,"點四人套餐，來一道沙拉和前菜後，就來主餐了，不是應該濃湯和另一道前菜先上嗎？順序有點奇怪🤔
鮭魚義大利麵不錯吃～
海鮮披薩不好吃，有點失望
羅宋濃湯太濃，喝起來蠻膩的
桌子的螺絲有點鬆動，讓桌子會一直搖晃，希望店家可以注意這塊",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Ami Ami,5,1 個月前,服務人員客氣又周到值得嘉許👍，餐點也不錯😌,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Wan Chang,1,8 個月前,披薩吃起來有烤焦味，點了白酒蛤仔奶油義大利麵蛤仔有沙子，麵沾上黑黑的已經分不清是沙子還是胡椒^_^一顆星是給冷氣很涼🧡,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
KA WAI Ma,5,2 個月前,Pizza 很好吃， Eddie 很用心的分享pizza 配辣椒橄欖油，很香。適合我這種不能吃太辣的客人。,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
